# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
secretory granule membrane	35	2.463511e-191	1.2148628531428573e-189	2.355307	1496	0.05512159	40	6.480875414999999e-10	1.34183	219	298	0.02155724	
vacuolar membrane	40	3.409807e-153	1.4713317205e-151	2.085178	1560	0.05747973	39	5.079091348717949e-10	1.298909	281	395	0.0276602	
lysosomal membrane	46	5.125307e-130	1.923104322173913e-128	2.080455	1335	0.04918939	46	2.6780488426086957e-9	1.307216	247	345	0.02431342	
secretory granule lumen	50	1.304322e-109	4.502519544000001e-108	2.00559	1232	0.04539425	91	0.00008907070417582418	1.222934	215	321	0.0211635	
specific granule	51	1.352358e-109	4.57680374117647e-108	2.530882	751	0.02767133	65	4.80052911076923e-7	1.389498	121	159	0.01191062	
specific granule membrane	52	5.898514e-109	1.957852916153846e-107	3.07844	541	0.01993368	66	9.65775716060606e-7	1.50127	74	90	0.007284182	
ficolin-1-rich granule lumen	56	1.302961e-100	4.015911939285715e-99	2.825704	570	0.02100221	76	0.000015254054155263158	1.38766	95	125	0.009351314	
tertiary granule	59	1.060954e-92	3.1037400067796615e-91	2.418982	691	0.02546057	45	2.2976339400000002e-9	1.445013	129	163	0.0126981	
phagocytic vesicle	62	8.351123e-79	2.3248448867741935e-77	2.63108	502	0.01849668	90	0.00008584959071111111	1.401677	76	99	0.007481051	
azurophil granule	69	4.078001e-73	1.0200912646376813e-71	2.263251	622	0.0229182	89	0.00008318317368539325	1.32465	111	153	0.01092627	
podosome	71	4.247114e-70	1.0324674315492959e-68	3.545469	284	0.01046426	116	0.000908262713275862	1.636986	26	29	0.002559307	
tertiary granule membrane	78	4.71033e-61	1.0423114846153845e-59	2.615278	391	0.01440678	73	0.000006788298890410959	1.521557	60	72	0.005906093	
ficolin-1-rich granule membrane	79	3.355983e-60	7.332185643037975e-59	3.156338	285	0.01050111	69	0.000002080143431594203	1.58641	53	61	0.005217049	
melanosome	81	5.479916e-59	1.1676956809876542e-57	2.198875	532	0.01960206	61	1.7891506616393442e-7	1.492297	85	104	0.008366965	
extrinsic component of cytoplasmic side of plasma membrane	88	4.639501e-52	9.099748552272726e-51	2.02777	566	0.02085483	88	0.00008089299118181819	1.386308	82	108	0.008071661	
azurophil granule membrane	100	2.159487e-42	3.727274562e-41	2.524532	286	0.01053795	133	0.0048636370015037594	1.409442	44	57	0.004331135	
phagocytic vesicle membrane	102	2.30043e-41	3.892688411764705e-40	2.408578	305	0.01123803	146	0.010296060512328767	1.355569	49	66	0.004823309	
uropod	103	4.13699e-41	6.932470621359223e-40	5.09049	109	0.004016212	179	0.045037578670391064	1.685417	12	13	0.001181219	
autophagosome membrane	125	7.628138e-33	1.05329329504e-31	2.669205	198	0.007295505	162	0.026256252938271604	1.472475	25	31	0.002460872	
mast cell granule	132	1.431404e-30	1.87166916969697e-29	2.725997	177	0.006521739	168	0.030085423130952377	1.56503	18	21	0.001771828	
